participant_id	age	sex	hand	weight	height	group	species	bci_experience
sub-1	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-10	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-11	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-12	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-13	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-14	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-15	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-16	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-17	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-18	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-19	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-2	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-20	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-21	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-22	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-23	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-24	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-25	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-26	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-27	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-28	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-29	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-3	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-30	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-4	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-5	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-6	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-7	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-8	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-9	25.0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
